Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Pb,%Zn,g/t Ag,%Cu,g/t Au
Anaconda,Australia,VMS,,C,Glencore (?),Minedex (2013-05-05),0.877,,1.97,6,0.96,
Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,1.70,4.20,31.1,0.22,0.50
Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,C,Hunnan Australia Resources,Ann Rep 2007 (Compass Res.),12.20,0.56,,,0.49,
Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.977,2.14,5.06,39.3,1.59,0.41
Bali Hi,Australia,Epithermal,Low sulfidation?,C,Artemis Resources (?),Minedex (2013-05-05),0.095,2.08,,,,0.20
Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.500,1.20,2.0,36,1.80,0.14
Belara,Australia,VMS,,C,Ironbark Zinc,Website (2013-03-22),2.545,1.10,3.75,39.61,0.40,
Bentley,Australia,VMS,,C,Independence Group,Ann Rep 2013,2.77,,9.60,139,1.90,0.80
Bowdens,Australia,Epithermal,Low sulfidation,C,Kingsgate Consolidated,Ann Rep 2013,88.0,0.29,0.39,47.40,,
Broken Hill (Aust),Australia,Sediment-hosted Pb-Zn,Sedex,C,Perilya Mines,media (2012-12-28),21.70,7.0,9.20,89,,
Broken Hill (Aust)-Rasp,Australia,Sediment-hosted Pb-Zn,Sedex,C,Toho Zinc,Ann Rep 2009 (CBH),16.50,5.1,6.6,89,,
Browns Reef,Australia,Orogenic Au,,C,Comet Resources,Ann Rep 2007,20.50,1.10,2,9,0.10,
Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.50,3.09,0.60,12.1,0.43,
Bulman,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,1.0,6.50,11.0,,,
Burns Peak,Australia,VMS,,NC,Mancala Resources Pty Ltd,DPEMP (2014),0.12,3.1,9.1,47,0.18,0.62
Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.18,0.76,3.30,101,0.19,2.10
Cannington,Australia,Sediment-hosted Pb-Zn,Sedex,C,BHP Billiton,Ann Rep 2013,96.3,4.87,2.98,164,,
Carboona,Australia,Epithermal,Low sulfidation?,C,unknown,Aust Mines Atlas (2013-10-01),0.035,6.20,1.37,,,
Century-Century East,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,17.60,10.1,1.5,37,,
Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,0.40,0.70,8.10,0.50,0.80
Comstock (Australia),Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),3.062,2.10,1.48,45.70,,
Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.130,1.26,0.56,95.4,0.18,
Coxco,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,7.80,1.0,4.20,,,
Daly River Anomaly A,Australia,VMS,,NC,Troy Resources,Ann Rep 2007,0.76,0.30,9.99,14.50,1.77,
Develin Creek-Rookwood,Australia,VMS,,C,Fitzroy Resources,Ann Rep 2011,1.75,,2.05,8.50,1.71,0.24
Djibigan (Manbarrum),Australia,Sediment-hosted Pb-Zn?,Sedex?,C,TNG Ltd (sold to Legacy Iron late 2013),Ann Rep 2012,19.93,0.20,0.50,16.40,,
Dugald River,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,63,1.8,12.1,32,,
Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.40,0.65,1.70,14,0.66,0.02
Ediacara,Australia,Sediment-hosted Pb-Zn,,C,unknown,SA DMITRE Website (2014-12-15),17,1.20,,10,,
Emull-Lamboo,Australia,VMS,,C,Northern Star Resources,Minedex (2013-05-05),4.70,0.20,4.50,19,0.33,
Endeavour (Elura),Australia,VMS,,C,Toho Zinc,Tech Rep (2013-04) (Couer Mining),17.40,4.9,7.8,73.6,0.18,
Evelyn,Australia,Skarn,,NC,Crocodile Gold,Ann Info Form 2013,0.01,6.70,3.70,343,,
Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.87,2.00,3.24,11.14,0.10,0.30
Federation,Australia,Skarn,,C,unknown,Ann Rep 2009,0.56,,1.40,36.40,,
Flinders Group,Australia,Sediment-hosted Pb-Zn,MVT,C,Perilya Mines,Ann Rep 2011,0.69,1.40,30.20,,,
Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.43,6.3,11.4,112,0.5,2.3
Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,0.3,3.9,35,2.2,0.7
Gossan Dam-Bonnie Rock,Australia,Skarn,Epithermal?,C,unknown,Minedex (2013-05-05),0.45,1.50,1.25,100,,
Grants Creek-Wilsons Reef,Australia,Orogenic Au,,C,Firestrike Resources,Minedex (2013-05-05),0.07,0.73,0.25,16,,4.97
Grieves Quarry,Australia,VMS,,C,Icon Resources,Website (2013-03-24),0.20,,5,,,
Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,4.1,7.0,104,0.4,1.3
Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.50,3.0,2.50,104,0.20,2.60
Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.44,2.80,3.80,16.70,0.20,4.10
Higgs,Australia,VMS,,C,Frontier Resources (?),Aust Mines Atlas (2013-10-01),0.22,1.50,1.30,23,,3.50
Jackson-Stella-Chloe Trend,Australia,Sediment-hosted Pb-Zn,Sedex,C,Kagara (?),Ann Rep 2011 (Copper Strike),4.70,2.0,4.8,48.1,0.20,
Jaguar,Australia,VMS,,C,Independence Group,Ann Rep 2013,0.48,,2.80,39,2.20,
Jervois Group,Australia,VMS,Possibly Sedex,C,KGL-Kentor Gold,Ann Rep 2011,1.0,2.58,2.21,73.20,0.89,
Kamarga-JB,Australia,Sediment-hosted Pb-Zn,MVT,C,RMG,Ann Rep 2013,10.40,0.20,2.70,1,,
Kangaroo Caves,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,6.30,,3.30,12.10,0.50,
Kangiara,Australia,Porphyry,Porpphyry Cu-Au,C,Paradigm Metals,Ann Rep 2012,2.75,1.0,1.30,24,0.18,0.50
Kempfield,Australia,VMS,,C,Argent Minerals,Ann Rep 2012,21.80,0.45,0.9,47,,0.12
Koonenberry,Australia,VMS,,C,Ausmon Resources,Website (2013-03-24),5.75,,0.35,2.30,1.03,0.05
Kroombit (Cu+Zn/Cu),Australia,VMS,,C,Argonaut Resources,Media (2009-06-11),5.16,,1.88,,0.15,
Lady Loretta,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,14.27,5.7,16.1,97,,
Lennard Shelf Group,Australia,Sediment-hosted Pb-Zn,MVT,C,North-West Mining & Geology Group (formerly Meridian Minerals),Minedex (2013-05-05),14.99,4.28,4.69,16,,
Lennon's Find,Australia,VMS,,C,Laconia Resources (sold to Musketeer Minerals Pty Ltd late 2013),Ann Rep 2013,1.80,1.40,5.10,82,0.20,0.26
Lewis Ponds,Australia,VMS,,C,TriAusMin,Ann Rep 2013,6.62,1.4,2.4,69,0.2,1.5
Liberty-Indee (Evelyn),Australia,VMS,,C,Venturex Resources,Ann Rep 2013,0.66,0.30,3.70,35.90,1.80,0.80
Magellan,Australia,Sediment-hosted Pb-Zn,Non-sulfide MVT,C,Ivernia,Ann Rep 2013,51.10,4.3,,,,
Manindi-Freddie Well,Australia,VMS,,C,Metals Australia,Ann Rep 2013,1.354,,6.04,3.40,0.25,0.25
Maramungee,Australia,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Williams & Heinemann (1993),1.80,,4.40,,,
Mariposa,Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),0.57,5.10,1.90,60.0,,
Mayfield,Australia,Skarn,,C,Forge Resources / Capital Mining,Ann Rep 2013 (Capital),4.90,,0.6,8.3,0.3,0.6
McArthur River,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,194,4.0,9.2,41.0,,
Menninnie Dam,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,7.70,2.60,3.10,27,,
Merlin-Little Wizard,Australia,IOCG,Cloncurry-type,C,Inova Res. (formerly Ivanhoe Aust.),Tech Rep (2010-10),6.72,0.02,0.14,8.3,0.34,0.08
Mons Cupri,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,4.61,0.50,1.30,24.10,0.90,0.10
Morrison,Australia,Skarn,,C,Kagara (?),Aust Mines Atlas (2013-09-30),1.93,0.30,5.40,21,0.60,0.10
Mt Angelo North,Australia,Porphyry,Porphyry Cu-Au-Pb-Zn,C,3D Resources,Minedex (2013-05-05),0.124,0.54,2.7,25,0.31,0.20
Mt Ararat,Australia,VMS,,C,Stavely Minerals,Media (2015-09-08),1.30,,0.40,6,2.0,0.50
Mt Bonnie,Australia,VMS,,NC,Crocodile Gold,Tech Rep (2013-07),0.65,2.0,9.0,280,0.50,1.70
Mt Charter,Australia,VMS,,C,Bass Metals,Ann Rep 2011,6.10,,0.50,36,,1.20
Mt Clement-Eastern Hills,Australia,Epithermal,Low sulfidation?,C,Artemis Resources,Ann Rep 2009,0.61,2.40,,26,,0.22
Mt Dore,Australia,IOCG,,C,Inova Res. (formerly Ivanhoe Aust.),Tech Rep (2010-10),144.30,0.05,0.30,5.9,0.52,0.10
Mt Garnet Group,Australia,Skarn,,C,Kagara,Ann Rep 2011,9.633,0.39,7.80,35.0,1.08,0.17
Mt Isa (Open Cut),Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,427.80,2.5,3.4,51.7,,
Mt Isa-Black Star,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,24.40,3.11,4.60,61.2,,
Mt Isa-George Fisher North,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,145.10,3.9,8.3,62,,
Mt Isa-George Fisher South (Hilton),Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,56.0,5.3,7.8,106,,
Mt Isa-Handle Bar Hill,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,8.27,2.4,5.7,36,,
Mt Moss,Australia,Skarn,,C,Curtain Bros (Qld),Qld Met. Ind. Mines 2012,20,,0.35,,0.35,
Mt Mulcahy,Australia,VMS,,C,Black Raven Mining,Minedex (2013-05-05),0.228,0.17,1.9,33,2.96,
Mulgul-Jillawarra (Abra),Australia,VMS,,C,Hunan Nonferrous Metals,Ann Rep 2010 (Jabiru Metals; also Minedex),107,3.49,0.09,9.3,0.19,0.11
Myrtle,Australia,Sediment-hosted Pb-Zn,Sedex,C,Rox Resources,Ann Rep 2013,43.60,0.95,4.09,,,
Narrawa,Australia,Skarn,,C,Torque Mining (formerly Frontier Resources),Prospectus (2013-07),0.209,1.32,1.11,161.0,,2.10
Nightflower-Digger Lode,Australia,VMS,,C,unknown,media (2008-09-26) (Axiom Mining),0.216,4.91,2.20,193.60,0.15,
Nimbus,Australia,Epithermal,High sulfidation,C,MacPhersons Resources,Tech Rep (2013-11),4.876,0.15,1.33,79.3,0.02,0.29
Northampton-Mary Springs,Australia,Epithermal,Low sulfidation?,C,Prospect Resources (formerly Ethan Minerals),Aust Mines Atlas (2013-09-30),0.145,11.46,,,,
Nymagee,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,8.10,0.30,0.70,9,1.20,
O'Callaghans,Australia,Skarn,,C,Newcrest Mining,ResV ResC 2013,78,0.25,0.50,,0.28,
Oceana,Australia,Sediment-hosted Pb-Zn,MVT,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),2.145,1.22,4.41,32.70,,
Onedin (Koongie Park),Australia,VMS,,C,Anglo Australian Resources,Ann Rep 2011,4.46,0.92,3.24,25.97,0.81,0.31
Parkers Hill (Mineral Hill),Australia,VMS,,C,KBL Mining,Ann Rep 2013,4.867,1.68,0.94,33,1.21,1.11
Peelwood North/South,Australia,VMS,,C,Balamara Resources (Sultan Corp),Ann Rep 2012,0.90,0.7,4.0,11.3,0.8,
Pegmont,Australia,Sediment-hosted Pb-Zn,Sedex,C,Pegmont Mines,Ann Rep 2013,8.852,3.46,1.48,,,
Peterlumbo-Paris,Australia,Epithermal,High sulfidation?,C,Investigator Resources,Media (2013-10-15),5.90,0.60,,110,,
Prairie Downs,Australia,VMS,,C,Prairie Downs Metals (now Brumby Resources),Minedex (2013-05-05),2.98,1.59,4.94,15,,
Que River-Que River S Lens,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.68,2.5,4.9,79,1.2,0.7
Queenslander,Australia,Skarn,,C,Kagara (?),Aust Mines Atlas (2013-09-30),1.59,0.10,4.50,11,0.60,
Quinns-Austin,Australia,VMS,,C,Caravel Minerals (formerly Silver Swan Group),Ann Rep 2012,1.48,,1.39,3.31,1.02,0.24
Railway Flat,Australia,Skarn,,C,Kagara (?),Ann Rep 2011 (Copper Strike),0.90,0.90,3.40,16.0,0.20,
Range & Turtle/Copper Ridge,Australia,Epithermal,Low sulfidation?,C,Onslow Minerals,Minedex (2013-05-05),0.13,1.9,,4.6,1.4,
Red Cap Group,Australia,Skarn,,C,Kagara,Qtr 2012-06,3.832,0.20,4.80,19,0.76,0.06
Rosebery-South Hercules,Australia,VMS,,C,MMG,Ann Rep 2013,19.10,3.5,11.0,121,0.4,1.7
Salt Creek,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,1.00,2.10,7.0,52.0,2.0,0.30
Sandiego,Australia,VMS,,C,Anglo Australian Resources,Ann Rep 2011,3.53,,4.05,19,1.63,0.27
Sandy Creek,Australia,Sediment-hosted Pb-Zn,,C,TNG Ltd,Ann Rep 2012,24.38,0.45,1.81,4.57,,
Silver King,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2012,1.60,13.90,5.10,157,,
Sorby Hills,Australia,Sediment-hosted Pb-Zn,MVT,C,KBL Mining,Ann Rep 2013,16.70,4.50,0.70,52,,
Stockman,Australia,VMS,,C,Independence Group,Ann Rep 2013,13.99,0.7,4.0,40,2.0,1.10
Sulphur Springs,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,12.83,0.20,4.10,17.60,1.50,0.10
Sunny Corner,Australia,VMS,,C,Argent Minerals,Ann Rep 2013,1.50,2.10,3.70,24,0.40,0.30
Sunshine,Australia,Sediment-hosted Pb-Zn,MVT,C,Stonehenge Metals (?),Aust Mines Atlas (2013-10-01),0.288,1.50,2.80,31,,
Sunter,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.38,1.60,3.80,15,,
Tally Ho,Australia,Orogenic Au?,,C,Alcyone Resources,Ann Rep 2008,0.73,0.90,0.83,49,0.10,0.06
Teena,Australia,Sediment-hosted Pb-Zn,Sedex,C,Rox Resources,Media (2016-06-01),58,1.60,11.10,,,
Teutonic Bore,Australia,VMS,,C,Independence Group,Ann Rep 2013,1.55,,2.50,49,1.60,
Thalanga Group,Australia,VMS,,C,Kagara,Ann Rep 2011,4.171,2.25,7.93,41.4,0.93,0.57
Trilogy,Australia,Orogenic Au,Associated with Kundip,C,Silver Lake Resources,Ann Rep 2012/2013,6.24,2.0,1.20,47.0,1.0,0.80
Turner River-Orchard Well/Discovery,Australia,VMS,,C,De Grey Mining,Minedex (2013-05-05),2.61,1.07,2.67,88,0.10,0.70
Wagga Tank,Australia,Orogenic Au,,C,"MMG51%, Golden Cross Resources49%",Ann Rep 2001 (GCR),1.25,1.76,3.30,68.80,0.81,0.66
Walford Creek,Australia,Sediment-hosted Pb-Zn,Sedex,C,Aeon Metals,ASX (2014-04-03),48.30,0.83,0.88,20.4,0.39,
Webbs,Australia,Epithermal,,C,Silver Mines,Ann Rep 2013,1.490,0.71,1.56,245,0.27,
Whim Creek,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,0.97,0.20,1.10,10.30,2.10,0.10
Whundo Cu-Zn / Zn,Australia,VMS,,C,Fox Resources,Ann Rep 2013,2.88,,1.35,,0.76,
Wonawinta,Australia,Sediment-hosted Pb-Zn,MVT?,C,Cobar Consolidated Resources,Inv Pres 2014-03,41.5,0.50,,45,,
Woodlawn Tailings,Australia,Sediment-hosted Pb-Zn/VMS Tailings,Sedex/VMS,TC,TriAusMin,Ann Rep 2013,11.65,1.35,2.29,32,0.50,0.29
Woodlawn Underground,Australia,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,TriAusMin,Ann Rep 2013,10.10,4.03,10.15,84,1.78,0.55
Zeehan Group Slag,Australia,VMS Slag,VMS Slag,TC,Intec Ltd,"Ann Rep 2007, 2013",0.42,1.50,13.60,55,,
Filizchay (Filizchai),Azerbaijan,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Azerbaijan Gov't website (2015-04-24),95,1.43,3.63,44.20,0.59,
Bolivar,Bolivia,Epithermal,Bolivian Polymetallic vein type?,C,Glencore Xstrata,Reserves-Resources 2013,4.10,0.9,9.8,302,,
Caballo Blanco,Bolivia,Epithermal?,Bolivian Polymetallic vein type?,C,Glencore Xstrata,Reserves-Resources 2013,2.33,2.2,8.7,202,,
La Solución Tailings,Bolivia,Epithermal ? Tailings,Bolivian Polymetallic vein type?,TC,Apogee Minerals,Tech Rep (2007-11),0.365,0.31,2.23,13.0,,
La Solución-Veta Hampaturi Sur,Bolivia,Epithermal,Bolivian Polymetallic vein type?,C,Apogee Minerals,Tech Rep (2007-05),0.12,1.20,5.10,54,,
Malku Khota,Bolivia,Sediment-hosted Pb-Zn,Sedex,C,South American Silver Corp,Tech Rep (2011-05),485.01,0.08,0.04,23.8,0.02,
Paca,Bolivia,Epithermal,,C,Apogee Minerals,Tech Rep (2007-05),18.416,0.68,1.16,43.04,,
Poopo,Bolivia,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,2.23,0.5,6.2,203,,
Porco,Bolivia,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,2.35,0.8,9.2,91,,
Pulacayo-Paya,Bolivia,Epithermal,,C,"Apogee Minerals, COMIBOL",Tech Rep (2013-01),20.74,0.76,1.37,104.3,,
San Vicente (Bolivia),Bolivia,Epithermal,,C,Pan American Silver Corp.,Ann Info Form 2013,6.60,0.30,2.57,342,,
Kihabe,Botswana,Sediment-hosted Pb-Zn,Sedex,C,Mt Burgess Mining,Ann Rep 2012,14.40,0.76,1.75,6.93,,
Nxuu,Botswana,Sediment-hosted Pb-Zn,,C,Mt Burgess Mining,Ann Rep 2012,10.90,1.40,1.80,,,
Aripuanã (Ambrex-Arex-Expedito-Valley),Brazil,VMS,,C,"Votorantim Metais-70%, Karmin Expl-30%",Tech Rep (2013-02),33.80,1.49,4.26,37,0.28,0.31
Boquira,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),7,4.70,0.60,30,,
Canoas,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Misi et al (1999),1.50,3.50,3.50,60,,
Fagundes,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3,,4.50,,,
Irecê,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),1.50,,7.90,120,,
Januaria,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.10,7.50,4.0,,,
Morro Agudo,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Cunha et al (2000),9.47,2,6.13,,,
Nova Redenção (New Redemption),Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Filho et al (2001),5.20,6.30,0.50,33,,
Palmeirópolis,Brazil,VMS,,C,unknown,Brandão et al (2000),6.890,1.00,4.54,25.8,0.93,0.04
Perau,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3.30,4.13,1.88,,,
S. Maria,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),46,1.30,0.90,12,,
Tres Irmas,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),7.0,1.40,7.60,,,
Vazante,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Monteiro et al (2007),18.80,,23.70,,,
Perkoa,Burkina Faso,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,12.96,0.1,9.8,56,,
Abcourt-Barvue,Canada,VMS,,C,Abcourt Mines Inc,Tech Rep (2014-04),10.127,,3.03,67.3,,0.14
Akie-Cardiac Creek,Canada,Sediment-hosted Pb-Zn,Sedex,C,Canada Zinc Metals,Tech Rep (2012-05),68.19,0.97,5.20,9.0,,
Aldermac,Canada,VMS,,NC,Abcourt Mines,Ann Info Form 2011,1.54,,3.0,,1.55,
Amy,Canada,Sediment-hosted Pb-Zn,?,NC,unknown,BC OFR (1998-10),0.072,2.84,6.03,366.70,,
Andrew (Lad),Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,7.76,1.40,5.80,9.49,,
Atlin-Ruffner,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.114,5,,600,,
Barvallée,Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.276,,4.39,48.1,0.87,1.31
Bear,Canada,VMS,,NC,unknown (Solid Res. Now Iberian Mins.??),NWT Guide 2007,1.136,2.20,5.10,336,,0.60
Bear-Twit,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,NWT Guide 2007,9.07,2.60,5.40,17.10,,
Belfort (Roymont),Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.067,,5.71,19.22,0.18,1.05
Bend 1 (Canyon Zone),Canada,Sediment-hosted Pb-Zn,SEDEX,NC,unknown,BC OFR (1998-10),5,2.30,0.60,7,,
Berrigan North (Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),1.389,,3.17,,,1.77
Berrigan South (Lac Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),0.260,,3.05,,,0.58
Beveley,Canada,Sediment-hosted Pb-Zn,MVT?,NC,unknown,BC OFR (1998-10),2.721,3.66,,36.30,,
Big Bull,Canada,VMS,,C,Chieftain Metals,Tech Rep (2010-11),0.96,2.13,5.03,177,0.35,3.7
Big Ledge,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,6.50,,4,,,
Big Showing (Teddy Glacier),Canada,Sediment-hosted Pb-Zn,MVT,NC,Jazz Resources,Tech Rep (2007-11),0.044,7.94,6.74,161.10,,4.5
Blende,Canada,Sediment-hosted Pb-Zn,MVT,C,Blind Creek Resources (formerly Eagle Plains Res.),Tech Rep (2007-08),19.60,2.80,3.04,56.0,,
Bobby's Pond,Canada,VMS,,C,Mountain Lake Resources,Tech Rep (2008-09),2.27,0.35,4.16,13.7,0.91,0.13
Boomerang-Domino (Tulks South),Canada,VMS,,C,Canadian Zinc Corp,Tech Rep (2007-08),2.077,2.92,6.82,104.0,0.48,1.39
Bowler Creek,Canada,VMS,VMS,NC,unknown,BC OFR (1998-10),0.296,0.77,2.58,52.3,0.20,
Brabant Lake,Canada,VMS,,C,Manicougan Minerals,Tech Rep (2008-09),4.45,0.16,6.75,20.1,0.63,0.12
Bracemac-McLeod,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,5.88,,8.87,34.2,1.22,0.7
Brandywine-Silver Tunnel-Northair,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.497,1.72,0.26,277.3,0.18,1.57
Buckton-Buckton South,Canada,Shale-hosted,,C,DNI Metals,Tech Rep (2014-01),"5,008.7",,0.017,,0.004,
Cadieux,Canada,Sediment-hosted Pb-Zn,,NC,unknown,"(see Gatineau, Midland Expl'n)",1.25,0.70,9.40,,,
Caledonia,Canada,Skarn,,NC,unknown,"BC OFR (1998-10), MINFILE 092L-061",0.07,0.60,7.45,704.20,6.10,0.34
Caribou,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2013-11),10.89,2.89,6.98,82.4,0.40,1.00
Cassiar Camp,Canada,Skarn-Manto,,NC,unknown,BC OFR (1998-10),0.905,6.1,3.49,137,0.04,
Chester,Canada,VMS,,C,Explor Resources,Tech Rep (2014-04),4.014,,0.02,1.3,1.21,
Chu Chua,Canada,VMS,,C,Reva Resources,Tech Rep (2013-10),2.827,,0.32,8.96,1.90,0.47
